country_code,date,holiday_name
BR,1896-05-03,Discovery of Brazil
BR,1896-05-13,Abolition of slavery in Brazil
CH,1896-05-14,Ascension Day
FI,1896-05-14,Ascension Day
FR,1896-05-14,Ascension Day
NL,1896-05-14,Ascension Day
FI,1896-05-24,Whit Sunday
NL,1896-05-24,Whit Sunday
FR,1896-05-25,Whit Monday
IE,1896-05-25,Whit Monday
IM,1896-05-25,Whit Monday
NL,1896-05-25,Whit Monday
US,1896-05-30,Memorial Day
BO,1896-06-04,Corpus Christi
PT,1896-06-04,Corpus Christi
IM,1896-06-05,TT Bank Holiday
FI,1896-06-23,Midsummer Eve
FI,1896-06-24,Midsummer Day
VE,1896-06-24,Battle of Carabobo
